id,name,rating,description
11,Duck Rice,4,"This Singaporean classic combines white rice and roasted or braised duck. If roasted, various seasonings such as cinnamon, ginger, or anise are placed inside the duck, which is then hung and roasted until crispy. The braised version is typically slowly cooked in a generously seasoned broth.  The duck can be prepared and served in two ways—Hokkien or Teochew. The former is usually doused in a thick, flavorful soy-based sauce, while the latter is usually served sliced and complemented by a lighter sauce. The dish is often accompanied by tofu, vegetables, or hard-boiled eggs, with a spicy dipping sauce served on the side."
12,Fish Head Curry,3.5,"Fish head curry is a Singaporean specialty dish consisting of fish heads, coconut cream, tomatoes, and an array of seasonings such as curry leaves, garlic, chili, coriander, cumin, turmeric, pepper, and tamarind. The dish was invented during the 1970s as a way to use up unwanted fish heads.  Today, it is served with bread or rice on the side, and one simmering pot of fish head curry can easily feed a few people."
13,Bak Kut Teh,4.6,"Even though it is traditionally associated with Malaysia and Singapore, this hearty dish stems from the Chinese culinary tradition. In its simplest form, it consists of various pork cuts that are cooked in a flavorful broth which is seasoned with star anise, cinnamon, garlic, and fennel.  It is commonly complemented with tofu puffs or mushrooms and usually comes served with several condiments. Among the numerous stories of its origin, the most probable claims that the Fujian immigrant Lee Boon Teh was the first who started selling the dish in Klang—a city that is recognized as the place where the authentic bak kut teh originated.  However, the authenticity of this theory has been disputed by the Singaporeans, who also claim the dish as their original invention. Regardless of these conflicting theories, bak kut teh remains a classic dish which perfectly illustrates the rich culinary heritage of both countries."
14,Hokkien Mee,3.6,"Hokkien mee is a dish usually consisting of round wheat noodles and thin rice noodles that are fried together with prawns, eggs, pork, and bean sprouts. While they stir-fry, all the ingredients are coated in a flavorful stock usually made from prawns, pork, and other types of seafood.  Standard additions include fish cakes, prawns, squids, spring onions, pork lard (optional), and chives, while sambal sauce and lime are typically served on the side. The exact origins of the dish are believed to be among the Hokkien community, a dialect group that mostly came from Fujian province.  It is said that the dish was invented at Rochor Market and that it was initially known as Rochor mee, only later gaining its current name. Although a similar dish with the same name exists in Malaysia, it is significantly different than the classic Singaporean version."
15,Kway Chap,3.7,"Kway chap is a traditional Singaporean dish consisting of flat rice sheets in a soy sauce broth and an array of sides such as pig tongue, offal, pork rinds, pork belly, hard-boiled eggs, fishcakes, or preserved vegetables. The meat is usually braised with spices such as cinnamon, cloves, and anise.  It is said that the broth should always be light, yet flavorful, while the rice sheets, known as kway, should never stick together. The dish can be found at numerous hawker stalls throughout Singapore."
16,Roti Prata,4.2,"Roti prata is a Singaporean specialty consisting of a ghee-flavored pancake that is crispy on the outside and soft on the inside. It is typically served with mutton curry or various fish dishes. There are many prata stalls throughout Singapore, so the texture of roti prata ranges from chewy and flaky to super crispy.  The pancake can also be turned into a dessert by adding ingredients such as chocolate, ice cream, or cheese."
17,Black Pepper Crab,3.9,"Black pepper crab is the unofficial national dish of Singapore, made by stir-frying crab pieces with black pepper, garlic, shallots, and oyster sauce over high heat. The dish is seldom prepared at home, but people can easily find it at numerous street stalls and seafood restaurants.  Once the crab is cooked, it is often garnished with coriander leaves and paired with rice on the side."
18,Roti John,4.1,"This classic street food item consists of a French loaf that is sliced lengthwise and generously doused with a mixture of lightly beaten eggs, minced meat, onions, and various combination of spices and vegetables. The bread is then fried top-down, until the topping sets and becomes crispy.  The history of roti John is shrouded in mystery, but most agree that it was created by a hawker named Shukor in Singapore, sometime in the 1970s. From there it spread to other parts of Malaysian peninsula and has become a classic hawker dish that is always freshly prepared and served warm, typically sliced into smaller pieces.  It is also believed that the dish was created to suit Western taste since the term John is universally used to denote Caucasians in Asia."
19,Cereal Prawn,3.8,"This Singaporean dish consists of crispy fried prawns that are doused in a rich combination of butter, crushed and toasted cereals, curry leaves, and chilis. Even though it is easily prepared at home, the dish is a staple at hawker centers and restaurant throughout Singapore and Malaysia.  Cereal prawns are occasionally served topped with a heap of toasted, almost sand-like cereals, and they are always enjoyed hot."
20,Beef Kway Teow,3.9,"Beef kway teow is a Singaporean noodle dish that can be served either as a quick meal or as a side dish to bigger meals. In order to prepare it, broad and flat rice noodles are stir-fried and topped with slices of beef. The dish can then be served in a dry version, or with soup.  In Singapore, the soup is enriched with galangal, while the dry version is flavored with chili, soy sauce, and sesame oil. A variety of the dish is popular in Indonesia, where it’s commonly enriched with garlic, meatballs, cabbage, soy sauce, and black pepper."
21,Katong laksa,4,"As the name implies, this laksa variety hails from the Katong neighborhood of Singapore's Central Region. It is based on a spicy, shrimp-infused broth that's flavored with coconut milk and a special laksa paste consisting of dried shrimps, herbs, and spices.  Other elements include thick rice noodles and a variety of condiments and toppings such as shrimps, fishcakes, cockles, tofu puffs, fish balls, spicy sambal sauce, or coriander. The noodles in Katong laksa are always cut into smaller pieces, and when served, each bowl comes with a spoon.  It is believed that the dish originated among the Peranakan (Strait Chinese), but it rose to fame during a dispute over which hawker stall serves the original version. The most popular theory claims that Ng brothers first started selling it in 1963 at a stall then named Marine Parade.  When they had to move out, their place was taken over by Nancy Lim who later renamed it 328 Laksa. Eventually, numerous stalls appeared, Ms. Lim moved her business, and the sons of Ng brothers opened a new laksa shop."
22,Sambal Stingray,3.6,"This Singaporean and Malaysian classic dish couples grilled stingray and spicy sambal paste—the chili pepper-based sauce that may incorporate various other elements such as lime juice, shrimp paste, ginger, vinegar, or sugar. The thin stingray fillets are usually coated with sambal and are then grilled and served on a banana leaf.  The whole dish is traditionally accompanied by lime wedges, onions, or sliced chili peppers, and there is also a special dipping sauce on the side. Apart from Singapore, the dish is also enjoyed in Malaysia where it is known as ikan pari bakar."
23,Crab Bee Hoon Soup,3.8,"Crab bee hoon soup is a Singaporean delicacy that consists of bee hoon noodles (rice vermicelli) and succulent crab meat drenched in a silky, aromatic broth. Sri Lankan mud crabs are most commonly used in this dish, while the broth is usually made with a combination of chicken broth, butter, evaporated milk, ginger, garlic, white pepper, sesame oil, fish sauce or oyster sauce, and a splash of Chinese rice wine, brandy, or XO Cognac.  The soupy broth is also typically enhanced with leafy vegetables such as baby bok choy or chye sim, scallions, and cilantro leaves. This savory specialty is often served in a clay pot, while chili-based dipping sauces usually accompany it on the side."
