UserID,Gender,Age Group,Top 6 most preferred CCA,Adventure Club,Aikido,Ambassadorial Team,Archery,Astronomy Club,Athletics,Badminton,Basketball,Bei Quan Dao,Bowling,Buddhist Society,Canoe Sprint,Catholic Youth Community,CD Lionhearters,Chinese Cultural Group,Chinese Orchestra,Community Service Club,Crew Studio,Current Affairs and Debating Club,Dance Company,Danz Inc,Der Treff German Club,Dragonboat,Emcee Club,Entrepreneurship Club,Floorball,Foreign Bodies,Geo Council,Guitar Club,Harmonica Ensemble,Hockey,Indian Cultural Group,Judo,Kendo,K-Wave Korean Club,L Hexagone French Club,La Ballroom En Masse,Leo Club,Library Champions,Life Saving,Lion and Dragon Dance Troupe,Live Audio,Makers Innovators Tribe,Makeup Artistry,Malay Cultural Group,Mentoring Club,Mindsports,Netball,Nyaa Students Club,NYP Cru,NYP Primers,Peer Supporter Club,Photography Club,Piano Ensemble,Running Club,Sakuran Japanese Cultural Club,SAS Club,SBM Club,SDM Club,SEG Club,Service Learning Group,SHSS Club,Silat,SIT Club,Sketch Art Club,Soccer,Soundcard,Squash,Stagearts Drama and Theatre Management Club,Street Workout Club,Strongman Club,Students Union,Swimming,Symphony Orchestra,Table Tennis,Taekwondo,Tchoukball,Tennis,The Communicators,Touch Football,Ultimate Frisbee,Voice Ensemble,Volleyball,Zhong Hua Wushu,sum
11,Female,14 and below,"Buddhist Society, Chinese Cultural Group, Chinese Orchestra, Community Service Club, Library Champions, Lion and Dragon Dance Troupe ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
12,Female,14 and below,"Adventure Club, Canoe Sprint, Dragonboat, Life Saving, Swimming, Ultimate Frisbee ",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6
13,Female,14 and below,"Catholic Youth Community, CD Lionhearters, Harmonica Ensemble, La Ballroom En Masse, Piano Ensemble, Service Learning Group ",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
14,Female,14 and below,"CD Lionhearters, Community Service Club, Emcee Club, Geo Council, Leo Club, Mentoring Club ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
15,Female,14 and below,"Chinese Cultural Group, Chinese Orchestra, Danz Inc, Harmonica Ensemble, Mindsports, Zhong Hua Wushu ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
16,Female,14 and below,"Chinese Orchestra, Dance Company, Guitar Club, Harmonica Ensemble, Piano Ensemble, Symphony Orchestra ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
17,Female,14 and below,"Ambassadorial Team, Astronomy Club, CD Lionhearters, Community Service Club, Peer Supporter Club, Service Learning Group ",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
18,Female,14 and below,"Crew Studio, Der Treff German Club, Guitar Club, Live Audio, Piano Ensemble, Symphony Orchestra ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
19,Female,14 and below,"Ambassadorial Team, Astronomy Club, Current Affairs and Debating Club, Entrepreneurship Club, Peer Supporter Club, The Communicators ",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
20,Female,14 and below,"Dance Company, Danz Inc, Der Treff German Club, Foreign Bodies, La Ballroom En Masse, Symphony Orchestra ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
21,Female,14 and below,"Astronomy Club, Current Affairs and Debating Club, Emcee Club, Library Champions, Symphony Orchestra, Voice Ensemble ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6
22,Female,14 and below,"Floorball, Hockey, Tchoukball, Tennis, Ultimate Frisbee, Volleyball ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,6
23,Female,14 and below,"Dance Company, Danz Inc, Foreign Bodies, K-Wave Korean Club, Makeup Artistry, Stagearts Drama and Theatre Management Club ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
24,Female,14 and below,"Adventure Club, Community Service Club, Geo Council, Peer Supporter Club, Service Learning Group, Swimming ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
25,Female,14 and below,"Crew Studio, Guitar Club, Live Audio, Soundcard, Symphony Orchestra, Voice Ensemble ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6
26,Female,14 and below,"Chinese Orchestra, Crew Studio, Danz Inc, Der Treff German Club, Harmonica Ensemble, Symphony Orchestra ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
27,Female,14 and below,"Ambassadorial Team, Astronomy Club, Indian Cultural Group, Makeup Artistry, Mentoring Club, Stagearts Drama and Theatre Management Club ",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
28,Female,14 and below,"Der Treff German Club, L Hexagone French Club, La Ballroom En Masse, Library Champions, Makers Innovators Tribe, Nyaa Students Club ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
29,Female,14 and below,"CD Lionhearters, Community Service Club, Leo Club, NYP Primers, Peer Supporter Club, Service Learning Group ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
30,Female,14 and below,"Ambassadorial Team, Astronomy Club, Library Champions, NYP Primers, Photography Club, Service Learning Group ",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
31,Female,14 and below,"Adventure Club, Canoe Sprint, Dragonboat, Life Saving, Swimming, Ultimate Frisbee ",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6
32,Female,14 and below,"Bei Quan Dao, Kendo, Lion and Dragon Dance Troupe, Silat, Taekwondo, Zhong Hua Wushu ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6
33,Female,14 and below,"Chinese Orchestra, Crew Studio, Guitar Club, Live Audio, Symphony Orchestra, Voice Ensemble ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6
34,Female,14 and below,"Ambassadorial Team, Entrepreneurship Club, Makers Innovators Tribe, Photography Club, Students Union, The Communicators ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6
35,Female,14 and below,"Danz Inc, Foreign Bodies, K-Wave Korean Club, La Ballroom En Masse, Makeup Artistry, Stagearts Drama and Theatre Management Club ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
36,Female,14 and below,"Guitar Club, K-Wave Korean Club, Makeup Artistry, Malay Cultural Group, The Communicators, Ultimate Frisbee ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6
37,Female,14 and below,"Community Service Club, Leo Club, Mentoring Club, NYP Primers, Photography Club, Service Learning Group ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
38,Female,14 and below,"Chinese Cultural Group, Current Affairs and Debating Club, Mentoring Club, Mindsports, Sketch Art Club, The Communicators ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
39,Female,14 and below,"Basketball, Netball, Tchoukball, Touch Football, Ultimate Frisbee, Volleyball ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6
40,Female,14 and below,"Nyaa Students Club, NYP Primers, Peer Supporter Club, Service Learning Group, Students Union, The Communicators ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6
41,Female,14 and below,"Current Affairs and Debating Club, Mentoring Club, NYP Cru, Peer Supporter Club, Service Learning Group, Students Union ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
42,Female,14 and below,"Community Service Club, Nyaa Students Club, NYP Primers, Peer Supporter Club, Service Learning Group, Students Union ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
43,Female,14 and below,"Archery, K-Wave Korean Club, Sakuran Japanese Cultural Club, Silat, Sketch Art Club, Stagearts Drama and Theatre Management Club ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
44,Female,14 and below,"Aikido, Archery, Kendo, Silat, Taekwondo, Zhong Hua Wushu ",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6
45,Female,14 and below,"Netball, Soccer, Squash, Tchoukball, Ultimate Frisbee, Volleyball ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,6
46,Female,14 and below,"Dance Company, K-Wave Korean Club, La Ballroom En Masse, Makeup Artistry, Sakuran Japanese Cultural Club, Stagearts Drama and Theatre Management Club ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
47,Female,14 and below,"Adventure Club, Athletics, Bei Quan Dao, Street Workout Club, Strongman Club, Tchoukball ",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6
48,Female,14 and below,"Adventure Club, Athletics, Canoe Sprint, Dragonboat, Running Club, Swimming ",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
49,Female,14 and below,"Badminton, Bowling, Table Tennis, Tennis, Ultimate Frisbee, Volleyball ",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,6
50,Female,14 and below,"Current Affairs and Debating Club, Library Champions, Makers Innovators Tribe, Peer Supporter Club, Students Union, SAS Club",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
51,Female,14 and below,"Astronomy Club, Makers Innovators Tribe, Photography Club, Service Learning Group, The Communicators, SBM Club",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
52,Female,14 and below,"Makers Innovators Tribe, NYP Primers, Peer Supporter Club, Stagearts Drama and Theatre Management Club, Students Union, SDM Club",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
53,Female,14 and below,"Community Service Club, Current Affairs and Debating Club, Library Champions, Service Learning Group, The Communicators, SEG Club",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
54,Female,14 and below,"Nyaa Students Club, NYP Primers, Peer Supporter Club, Service Learning Group, Students Union, SHSS Club",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
55,Female,14 and below,"Ambassadorial Team, Astronomy Club, Community Service Club, Makers Innovators Tribe, NYP Primers, SIT Club",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
