UserID,Gender,Age Group,Top 6 most preferred style,Artsy Style (F),Biker Style (F),Bohemian Style (F),Casual Style (F),Chic Style (F),Classy Style (F),Comfy Style (F),Ethnic Style (F),Evening Style (F),Formal Office Style (F),Girl Next Door Style (F),Grunge Style (F),Hip Hop Style (F),Indie Style (F),Kpop Style (F),Lolita Style (F),Preppy Style (F),Punk Style (F),Sexy Style (F),Sporty Style (F),Streetwear Style (F),Vacation Style (F),Vintage Style (F),Y2k Style (F),Artsy Style (M),Biker Style (M),Bohemian Style (M),Boy Next Door Style (M),Casual Style (M),Chic Style (M),Classy Style (M),Comfy Style (M),Ethnic Style (M),Evening Style (M),Formal Office Style (M),Grunge Style (M),Hip Hop Style (M),Indie Style (M),Ivy Style (M),Preppy Style (M),Punk Style (M),Rugged Style (M),Sporty Style (M),Streetwear Style (M),Vacation Style (M),Varsity Style (M),Vintage Style (M),Y2k Style (M),sum
25,Female,25 - 54,"Bohemian Style (F), Comfy Style (F), Hip Hop Style (F), Sexy Style (F), Sporty Style (F), Vacation Style (F)",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
26,Female,55 - 64,"Bohemian Style (F), Casual Style (F), Comfy Style (F), Sexy Style (F), Sporty Style (F), Vacation Style (F)",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
27,Female,15 - 24,"Chic Style (F), Evening Style (F), Indie Style (F), Kpop Style (F), Preppy Style (F), Vacation Style (F)",0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
28,Male,55 - 64,"Chic Style (M), Classy Style (M), Ethnic Style (M), Evening Style (M), Ivy Style (M), Vacation Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6
29,Male,55 - 64,"Boy Next Door Style (M), Rugged Style (M), Sporty Style (M), Streetwear Style (M), Vacation Style (M), Vintage Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,6
30,Male,65 and above,"Biker Style (M), Casual Style (M), Chic Style (M), Comfy Style (M), Ethnic Style (M), Evening Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
31,Female,15 - 24,"Chic Style (F), Evening Style (F), Indie Style (F), Kpop Style (F), Preppy Style (F), Vacation Style (F)",0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
32,Male,25 - 54,"Classy Style (M), Evening Style (M), Formal Office Style (M), Indie Style (M), Ivy Style (M), Preppy Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,6
33,Male,14 and below,"Bohemian Style (M), Boy Next Door Style (M), Comfy Style (M), Grunge Style (M), Hip Hop Style (M), Indie Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6
34,Male,14 and below,"Artsy Style (M), Indie Style (M), Streetwear Style (M), Varsity Style (M), Vintage Style (M), Y2k Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,6
35,Male,65 and above,"Artsy Style (M), Bohemian Style (M), Comfy Style (M), Grunge Style (M), Vintage Style (M), Y2k Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,6
36,Female,14 and below,"Artsy Style (F), Casual Style (F), Girl Next Door Style (F), Indie Style (F), Streetwear Style (F), Vintage Style (F)",1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
37,Male,14 and below,"Artsy Style (M), Boy Next Door Style (M), Casual Style (M), Comfy Style (M), Evening Style (M), Indie Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
38,Female,65 and above,"Artsy Style (F), Biker Style (F), Bohemian Style (F), Sexy Style (F), Sporty Style (F), Streetwear Style (F)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
39,Female,25 - 54,"Chic Style (F), Ethnic Style (F), Hip Hop Style (F), Sexy Style (F), Vintage Style (F), Y2k Style (F)",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
40,Female,55 - 64,"Casual Style (F), Comfy Style (F), Formal Office Style (F), Grunge Style (F), Indie Style (F), Lolita Style (F)",0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
41,Female,65 and above,"Biker Style (F), Bohemian Style (F), Chic Style (F), Comfy Style (F), Ethnic Style (F), Girl Next Door Style (F)",0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
42,Female,25 - 54,"Chic Style (F), Ethnic Style (F), Hip Hop Style (F), Sexy Style (F), Vintage Style (F), Y2k Style (F)",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
43,Male,14 and below,"Boy Next Door Style (M), Casual Style (M), Comfy Style (M), Hip Hop Style (M), Ivy Style (M), Preppy Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,6
44,Male,65 and above,"Biker Style (M), Casual Style (M), Classy Style (M), Ethnic Style (M), Grunge Style (M), Indie Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6
45,Male,65 and above,"Bohemian Style (M), Chic Style (M), Evening Style (M), Hip Hop Style (M), Ivy Style (M), Streetwear Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,6
46,Male,15 - 24,"Biker Style (M), Bohemian Style (M), Boy Next Door Style (M), Classy Style (M), Formal Office Style (M), Preppy Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6
47,Female,15 - 24,"Artsy Style (F), Casual Style (F), Girl Next Door Style (F), Kpop Style (F), Preppy Style (F), Streetwear Style (F)",1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
48,Female,55 - 64,"Bohemian Style (F), Chic Style (F), Ethnic Style (F), Evening Style (F), Formal Office Style (F), Sexy Style (F)",0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
49,Male,65 and above,"Classy Style (M), Ethnic Style (M), Evening Style (M), Formal Office Style (M), Ivy Style (M), Preppy Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,6
50,Male,25 - 54,"Biker Style (M), Casual Style (M), Classy Style (M), Comfy Style (M), Formal Office Style (M), Rugged Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
51,Female,15 - 24,"Grunge Style (F), Indie Style (F), Kpop Style (F), Lolita Style (F), Vintage Style (F), Y2k Style (F)",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
52,Female,14 and below,"Artsy Style (F), Biker Style (F), Girl Next Door Style (F), Indie Style (F), Vintage Style (F), Y2k Style (F)",1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
53,Female,14 and below,"Biker Style (F), Chic Style (F), Classy Style (F), Hip Hop Style (F), Punk Style (F), Streetwear Style (F)",0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
54,Female,14 and below,"Bohemian Style (F), Casual Style (F), Ethnic Style (F), Grunge Style (F), Vacation Style (F), Vintage Style (F)",0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
55,Female,15 - 24,"Casual Style (F), Comfy Style (F), Girl Next Door Style (F), Sporty Style (F), Streetwear Style (F), Vacation Style (F)",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
56,Female,14 and below,"Casual Style (F), Chic Style (F), Classy Style (F), Girl Next Door Style (F), Sexy Style (F), Sporty Style (F)",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
57,Female,14 and below,"Chic Style (F), Classy Style (F), Evening Style (F), Formal Office Style (F), Sexy Style (F), Vacation Style (F)",0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
58,Female,14 and below,"Chic Style (F), Classy Style (F), Evening Style (F), Formal Office Style (F), Sexy Style (F), Vacation Style (F)",0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
59,Male,25 - 54,"Classy Style (M), Evening Style (M), Formal Office Style (M), Indie Style (M), Ivy Style (M), Preppy Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,6
60,Female,14 and below,"Casual Style (F), Comfy Style (F), Girl Next Door Style (F), Sexy Style (F), Sporty Style (F), Vacation Style (F)",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
61,Female,15 - 24,"Casual Style (F), Comfy Style (F), Hip Hop Style (F), Kpop Style (F), Preppy Style (F), Punk Style (F)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
62,Female,14 and below,"Ethnic Style (F), Evening Style (F), Girl Next Door Style (F), Preppy Style (F), Vintage Style (F), Y2k Style (F)",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
63,Female,14 and below,"Chic Style (F), Classy Style (F), Evening Style (F), Formal Office Style (F), Girl Next Door Style (F), Sexy Style (F)",0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
64,Female,14 and below,"Casual Style (F), Chic Style (F), Classy Style (F), Formal Office Style (F), Sexy Style (F), Sporty Style (F)",0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
65,Male,25 - 54,"Classy Style (M), Evening Style (M), Formal Office Style (M), Indie Style (M), Ivy Style (M), Preppy Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,6
66,Female,14 and below,"Girl Next Door Style (F), Hip Hop Style (F), Indie Style (F), Kpop Style (F), Lolita Style (F), Preppy Style (F)",0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
67,Female,14 and below,"Artsy Style (F), Biker Style (F), Grunge Style (F), Indie Style (F), Vintage Style (F), Y2k Style (F)",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
68,Male,15 - 24,"Classy Style (M), Comfy Style (M), Formal Office Style (M), Punk Style (M), Streetwear Style (M), Varsity Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,6
69,Female,14 and below,"Comfy Style (F), Hip Hop Style (F), Indie Style (F), Streetwear Style (F), Vacation Style (F), Y2k Style (F)",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
70,Female,15 - 24,"Biker Style (F), Bohemian Style (F), Casual Style (F), Comfy Style (F), Girl Next Door Style (F), Hip Hop Style (F)",0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
71,Female,14 and below,"Indie Style (F), Kpop Style (F), Lolita Style (F), Preppy Style (F), Punk Style (F), Y2k Style (F)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
72,Female,14 and below,"Artsy Style (F), Comfy Style (F), Kpop Style (F), Punk Style (F), Streetwear Style (F), Vintage Style (F)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
73,Female,15 - 24,"Casual Style (F), Classy Style (F), Comfy Style (F), Girl Next Door Style (F), Hip Hop Style (F), Indie Style (F)",0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
74,Female,14 and below,"Artsy Style (F), Kpop Style (F), Lolita Style (F), Preppy Style (F), Vintage Style (F), Y2k Style (F)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
75,Female,14 and below,"Biker Style (F), Casual Style (F), Hip Hop Style (F), Punk Style (F), Sporty Style (F), Streetwear Style (F)",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
76,Female,14 and below,"Bohemian Style (F), Chic Style (F), Evening Style (F), Sexy Style (F), Sporty Style (F), Vacation Style (F)",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
77,Female,14 and below,"Bohemian Style (F), Casual Style (F), Sexy Style (F), Sporty Style (F), Streetwear Style (F), Vacation Style (F)",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
78,Female,14 and below,"Casual Style (F), Comfy Style (F), Hip Hop Style (F), Indie Style (F), Streetwear Style (F), Y2k Style (F)",0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
79,Female,14 and below,"Artsy Style (F), Bohemian Style (F), Indie Style (F), Vacation Style (F), Vintage Style (F), Y2k Style (F)",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
