id,name,rating,description,,location
11,Duck Rice,4.2,"Duck rice is a Southeast Asian meat dish usually consumed by the Chinese diaspora in Maritime Southeast Asia, made of either braised or roasted duck and plain white rice. The braised duck is usually cooked with yam and shrimps; it can be served simply with plain white rice and a thick dark sauce; side dishes of braised hard-boiled eggs, preserved salted vegetables, or hard beancurd may be added. In addition, Teochew boneless duck rice is a similar, but a more refined dish; due to the slightly tougher texture of duck, the duck is artfully deboned and sliced thinly for the convenience and ease of the diner, allowing the sauces to seep into the meat; Hainanese chicken rice and other similar dishes have followed this style due to the popularity.",,"Roasted Delight, Ang Mo Kio Ave 4"
12,Fish Head Curry,4.4,"Fish head curry is a spicy, curried dish unique to Singapore. Blending the spices of a typical South Indian fish curry with the fish head, the dish is a delicacy among the Chinese.The curry used in Gomez’s dish is based on the traditional South Indian fish curry recipe from the southwestern Indian state of Kerala. The curry is a thick paste of rich spices coating the fish pieces. In Kerala, however, coconut milk is added to the gravy.Fish head curry is served in both Indian and Chinese restaurants.In some Indian restaurants, fresh banana leaves are laid before the diners and rice is scooped onto them. The curry is then poured over the rice. Usually, the diners are also served papadam (crackers) to complement the main course. The meal is often eaten with other side dishes as well.Typically, the flesh around the cheeks would be the first part of the fish head consumed. Other fleshy parts are then removed, exposing the skull. The final and best part of this gastronomic ritual is the scooping of the eyes. The whole fish is usually consumed, from the meat, cheeks, eyeballs and lips.",,"Yun Seafood Fishhead Steamboat, Block 632 HDB Ang Mo Kio Avenue 4"
13,Bak Kut Teh,4.1,"Bak kut teh, or  pork ribs soup, is a popular Chinese dish in Singapore.The dish consists of pork ribs stewed with a mixture of fragrant herbs and spices such as garlic, cloves, cinnamon, star anise, fennel seeds and coriander.Referring to the main ingredient in the dish, bak kut teh (Hokkien) and rou gu cha (Mandarin) translate literally to “meat bone tea”.There are three traditional variants of bak kut teh in Singapore: Hokkien, Teochew and Cantonese. As the Hokkien people prefer soups that are robust, their strand of bak kut teh is a strongly scented, thick and cloudy soup that has been boiled with rock sugar and a wide variety of herbs. The dark brown colour of the soup is due to the addition of copious amounts of dark soy sauce, as the Hokkiens often like their food to be saltier compared with their counterparts.",,"Li Yuan Herbal Bak Kut Teh, Ang Mo Kio Ave 8, 8"
14,Hokkien Mee,3.9,"Hokkien mee is a Southeast Asian dish that has its origins in the cuisine of China's Fujian (Hokkien) province.[1] There are three distinct types of Hokkien mee found in Malaysia and Singapore.
In local parlance, Penang Hokkien mee is known by Penangites simply as Hokkien mee, while the Kuala Lumpur stir fried variant is called Hokkien char. Penang Hokkien mee is particularly ubiquitous in Penang, as it is served by hawker stalls and kopitiams (traditional Chinese coffee shops) throughout the state. While both the Penang and Singaporean versions are more correctly known as hae mee, and consist of prawns as their main ingredients, the two variants are prepared differently. The Singapore hae mee is stir fried and has a lighter colour, while the Penang variant is cooked in a prawn-based spicy broth.On the other hand, Hokkien char mee, which is more common in central Peninsular Malaysia and particularly the Klang Valley, was originally developed in Kuala Lumpur. By default in the Klang Valley, the term Hokkien mee refers to this darker, stir fried variant. The Penang variant is sometimes referred to as mee yoke.",,"Fried Hokkien Prawn Noodles, Ang Mo Kio Ave 6, #01-41"
15,Kway Chap,4.2,"Kway chap (Chinese: ??; pinyin: gu?zh?), also spelt kuay chap is a Teochew noodle soup consisting of flat, broad rice sheets (kway) in a soup made with dark soy sauce, served with an assortment of pork cuts including offal, pork belly, intestines, and pig's ears, braised duck meat, various kinds of beancurd, preserved salted vegetables, and braised hard-boiled eggs. The dish is popular in Malaysia's Sarawak, Penang, and Johor states, and in neighboring Singapore.
",,"Ying Yi Kway Chap Braised Duck,#01-145, Ang Mo Kio Ave 10"
16,Roti Prata,3.8,"A soft and yet crisp flatbread, roti prata (or paratha) is often eaten together with mutton or dhal curry. It is sold mostly by Indian Muslim stallholders at coffeeshops and hawker centres. There are two common types of roti prata sold in Singapore – plain prata and prata with egg. However, these days, many eateries offer interesting and innovative versions by adding cheese, mushrooms, bananas, sugar, jam, chocolate, and ice cream to the dish. To many, roti prata serves as a staple food for breakfast, lunch and dinner; although, it is most often eaten as a breakfast item.",,"Prata Raya Singapore, AMK Hub
No. 53, Ang Mo Kio Avenue 3, #01-38/39, AMK Hub, 569933, 569933"
17,Black Pepper Crab,4.2,"Black pepper crab is one of the two most popular ways that crab is served in Singaporean cuisine. It is made with hard-shell crabs, and fried with black pepper. Unlike the other popular chilli crab dish, it is not cooked in a sauce and therefore has a dry consistency. It is becoming very popular to mix the pepper crab with a fresh jackfruit sauce.",,"Yun Seafood Fishhead Steamboat, Block 632 HDB Ang Mo Kio Avenue 4"
18,Roti John,4.3,"Roti john is a local dish consisting of the sliced halves of a French loaf fried with a topping of minced mutton, sliced onions and egg. The dish is unique to the Malay Peninsula, with its origins linked to the resident English, Malay and Indian communities. Literally translated, roti john means “John’s bread”; the dish takes its name from a once common form of address for Caucasians (“John”) while roti is a Hindi term for “bread”, which is also used in Malay.",,"Kensington Park Road, R.K. Eating House,1 Kensington Park Rd"
19,Cereal Prawn,4.1,"This Singaporean dish consists of crispy fried prawns that are doused in a rich combination of butter, crushed and toasted cereals, curry leaves, and chilis. Even though it is easily prepared at home, the dish is a staple at hawker centers and restaurant throughout Singapore and Malaysia.  Cereal prawns are occasionally served topped with a heap of toasted, almost sand-like cereals, and they are always enjoyed hot.",,"Chui Xiang Kitchen,126 Casuarina Rd"
20,Beef Kway Teow,4.4,"Beef kway teow or beef kwetiau (English spelling) and kwetiau sapi (Indonesian spelling) is an Chinese Indonesian dish of flat rice noodles (kway teow) stir-fried and topped with slices of beef or sometimes beef offal, served either dry or with soup. The dish is commonly found in Southeast Asian countries, especially Indonesia, Singapore and Malaysia, and can trace its origin to Chinese tradition.",,"Ang Mo Kio Char Kway Teow, Ang Mo Kio Ave 6, #01-28"
21,Katong laksa,3.9,"As the name implies, this laksa variety hails from the Katong neighborhood of Singapore's Central Region. It is based on a spicy, shrimp-infused broth that's flavored with coconut milk and a special laksa paste consisting of dried shrimps, herbs, and spices.  Other elements include thick rice noodles and a variety of condiments and toppings such as shrimps, fishcakes, cockles, tofu puffs, fish balls, spicy sambal sauce, or coriander. The noodles in Katong laksa are always cut into smaller pieces, and when served, each bowl comes with a spoon.  It is believed that the dish originated among the Peranakan (Strait Chinese), but it rose to fame during a dispute over which hawker stall serves the original version. The most popular theory claims that Ng brothers first started selling it in 1963 at a stall then named Marine Parade.  When they had to move out, their place was taken over by Nancy Lim who later renamed it 328 Laksa. Eventually, numerous stalls appeared, Ms. Lim moved her business, and the sons of Ng brothers opened a new laksa shop.",,"Khoon's Katong Laksa & Seafood Soup, Upper Thomson Rd, #01-26"
22,Sambal Stingray,4.6,"This Singaporean and Malaysian classic dish couples grilled stingray and spicy sambal paste—the chili pepper-based sauce that may incorporate various other elements such as lime juice, shrimp paste, ginger, vinegar, or sugar. The thin stingray fillets are usually coated with sambal and are then grilled and served on a banana leaf.  The whole dish is traditionally accompanied by lime wedges, onions, or sliced chili peppers, and there is also a special dipping sauce on the side. Apart from Singapore, the dish is also enjoyed in Malaysia where it is known as ikan pari bakar.",,"Lucy BBQ Seafood,20 Kensington Park Rd"
23,Crab Bee Hoon Soup,4.2,"Crab bee hoon soup is a Singaporean delicacy that consists of bee hoon noodles (rice vermicelli) and succulent crab meat drenched in a silky, aromatic broth. Sri Lankan mud crabs are most commonly used in this dish, while the broth is usually made with a combination of chicken broth, butter, evaporated milk, ginger, garlic, white pepper, sesame oil, fish sauce or oyster sauce, and a splash of Chinese rice wine, brandy, or XO Cognac.  The soupy broth is also typically enhanced with leafy vegetables such as baby bok choy or chye sim, scallions, and cilantro leaves. This savory specialty is often served in a clay pot, while chili-based dipping sauces usually accompany it on the side.",,"Mellben Seafood,232 Ang Mo Kio Avenue 3, St 22, #01-1222"
24,Satay,4,"Satay is small pieces of spice marinated meat (usually lamb, beef, chicken) skewered with a thin wooden stick cooked by grilling over a trough of open charcoal fire",,"The Satay Taste,528 Ang Mo Kio Ave 10, #01-116"
